Nom du Restaurant,Ville,Catégorie,Note Google,Nombre d'Avis,Possède un Site Web,Site Web URL,Score de Complétude Profil (sur 10),Google Maps CID
"L'AVENUE","Menton","Restaurant",4.7,733,"Non","",7,"1864236121802554317"
"Restaurant Mirazur","Menton","Gastronomie française",4.4,1,"Oui","http://www.mirazur.fr/",6,"10881577327455334296"
"L’Orangerie-restaurant Menton","Menton","Française",4.7,827,"Oui","https://www.orangeriementon.fr/",8,"14167124876616801864"
"Lyode","Menton","Fruits de mer",4.8,230,"Oui","https://www.instagram.com/lyode_restaurant?igsh=Y3YwcWlxOHd3bGZh&utm_source=qr",8,"13532556144078870268"
"Les Croc's","Menton","Restaurant",4.9,375,"Non","",7,"10455997804545162305"
"Le Stanley","Menton","Restaurant",4.4,2,"Oui","https://www.stanley-menton.fr/",6,"7111743436001969443"
"L'Entre II","Menton","Restaurant",4.6,249,"Non","",7,"2784701408540845732"
"PIZZA e BASTA","Menton","Italienne",4.8,189,"Oui","https://pizzaebastamenton.com/",8,"9320584036607528411"
"Fleur de Mozza - Pizzeria Menton","Menton","Pizza",4.7,319,"Non","",7,"3136570156732592579"
"Pizz’Addict","Menton","Pizza",4.8,315,"Non","",7,"14810050658708060771"
"Da Franci","Menton","Pizza",4.7,268,"Non","",7,"2402293320998114075"
"Al Vecchio Forno","Menton","Pizza",4.4,1,"Oui","https://cinque-valli.com/listing/al-vecchio-forno/",6,"7360252188411899053"
"L'ENVOL Pizzeria","Menton","Pizza",4.8,109,"Non","",7,"13168519065337258035"
"Il faró - Pizzeria","Menton","Italienne",4.9,61,"Non","",7,"8640639638461488508"
"Salentoexpress","Menton","Pizza",4.9,161,"Non","",7,"16672720760429328564"
"La PecoraNegra Menton","Menton","Pizza",4.3,869,"Oui","http://www.pecoranegra.fr/",7,"8420388479111571923"
"Pizzeria 430gradi","Menton","Pizza",4.6,576,"Oui","https://instagram.com/pizzeria430gradi?utm_medium=copy_link",8,"5173883789867128868"
"Brasserie du cap","Menton","Brasserie",3.8,903,"Non","",6,"5242439904591054658"
"Brasserie Le Clémenceau","Menton","Brasserie",4.3,322,"Non","",7,"1712752305160806531"
"L'Endroit","Menton","Restaurant",4.4,393,"Oui","http://lendroit-menton.fr/",8,"2112440265353230243"
"LA MENTOUNASC","Menton","Microbrasserie",5,82,"Oui","https://www.lamentounasc.fr/",8,"7292479447973136808"
"Chez Mimi (Specialités Locales)","Menton","Brasserie",5,1,"Non","",5,"3439236903566507584"
"Bar Brasserie Rino","Menton","Restaurant",4.6,352,"Oui","https://menusa.app/11eeaeff4a766ebdb12b1e1dfb1f9b27",8,"4424138442711016526"
"Le 31","Menton","Restaurant",4.5,718,"Oui","https://bonsrestaurants.fr/restaurants/le-31-menton/",8,"6630348991880797808"
"Les Incompris","Menton","Méditerranéenne",3.9,1,"Oui","http://www.lesincompris.com/",5,"1931179133701846169"
"Les Delicatesses de Grasse","Grasse","Petites portions à partager",4.8,753,"Oui","https://lesdelicatessesdeg.wixsite.com/",8,"16168055175179008778"
"La Fleur de Lys","Grasse","Française",4.7,564,"Non","",7,"3650146133756044705"
"Au Fil du Temps","Grasse","Française",4.8,544,"Oui","https://www.au-fil-du-temps-restaurant-grasse.fr/",8,"16387801666663999749"
"BISTROT LOUGOLIN","Grasse","Restaurant",4.5,1,"Oui","http://lougolin.com/",6,"6957225041481689252"
"Roses et Mets","Grasse","Française",4.8,140,"Oui","http://roses-et-mets.fr/",8,"13167316015977083732"
"Le Paddock","Grasse","Restaurant",4.5,1,"Oui","http://www.lepaddockgrasse.fr/",6,"2593999489842507456"
"Restaurant Le Mas du Calme à Grasse","Grasse","Restaurant",4.6,261,"Oui","https://www.facebook.com/RestaurantLeMasduCalme",8,"17765918169393443965"
"Restaurant Edelweiss","Grasse","Française",5,48,"Non","",6,"6081092770023906645"
"La Bastide Saint-Antoine - Jacques Chibois","Grasse","Restaurant",4.5,773,"Oui","http://jacques-chibois.com/",8,"1110881163631403822"
"TAVERNE DE L’ORATOIRE","Grasse","Restaurant",4.5,351,"Oui","https://taverne-de-l-oratoire.fr/",8,"567400484249335859"
"La Tannerie","Grasse","Restaurant",4.6,242,"Oui","http://latanneriegrasse.site/",8,"16880153501956073797"
"Restaurant Cocotte","Grasse","Restaurant",4.9,481,"Non","",6,"10727537105669488158"
"Bohème","Grasse","Restaurant",4.8,1,"Oui","http://www.boheme-mougins.com/",5,"11893140665691088304"
"La Casa Nostra chez Claudio - Pizza à emporter - Grasse","Grasse","Pizza",4.8,215,"Oui","https://www.pizza-casa-nostra.fr/",8,"10977403964838218475"
"Restaurant Mick'elly Pizzeria","Grasse","Pizza",4.4,1,"Oui","https://www.facebook.com/PizzeriaMickelly",6,"9518900382481090642"
"Pizzeria La Planoise","Grasse","Pizza",4.8,155,"Non","",7,"4784324941393379060"
"Le vieux camion","Grasse","Pizza",4.9,199,"Oui","https://www.pizzerialevieuxcamion.com/",8,"10696077688775252603"
"Pizza Chez Ange","Grasse","Pizza",4.8,132,"Non","",7,"8579850335119200263"
"Bella Napoli","Grasse","Pizza",3.9,823,"Oui","https://www.allo-pizza.info/pizza/pizzeria-bella-napoli-grasse-06130/",7,"9621665244808625958"
"La Station pizza","Grasse","Pizza",4.9,446,"Oui","https://www.facebook.com/stationpizzagrasse/",8,"4194472778416230863"
"L'autentica","Grasse","Pizza",4.8,92,"Oui","https://www.facebook.com/lautentica06/",8,"3755202011188143524"
